id,x,y,dbh
103,-3.06,-19.07,28.33
243,-1.41,-34.61,59.09
245,-2.02,24.51,21.36
181,-10.2,-21.67,17.43
175,28.08,-31.59,59.32
64,35.74,-7.33,45.54
221,30.3,9.0,44.5
188,-21.08,-18.38,25.68
231,-21.86,-34.27,85.22
63,-12.88,13.54,18.94
206,-5.64,-23.76,87.75
56,-19.54,10.16,35.89
91,11.85,-27.44,39.39
186,-9.51,26.89,60.17
102,-37.32,-37.54,18.31
223,-31.6,-33.77,33.6
153,29.32,-11.32,27.61
152,-18.63,-27.79,48.2
57,6.81,33.87,46.3
97,-37.62,11.18,47.35
13,31.68,-38.54,29.54
83,-23.01,15.12,58.02
216,7.33,-23.17,34.13
167,-28.73,16.6,16.48
158,-26.41,-37.61,43.82
204,35.42,32.74,48.75
52,-25.66,7.81,53.27
15,36.21,-35.91,60.27
111,4.93,-27.61,46.3
141,10.93,-10.98,32.84
116,-26.37,-30.06,36.91
132,10.77,13.73,36.3
184,29.14,8.03,48.84
10,-16.47,-28.16,29.93
247,-22.39,-34.78,51.1
88,-9.9,6.68,33.13
96,-39.79,15.15,14.94
75,-6.53,38.62,42.61
238,37.76,-38.93,31.03
131,-16.22,1.17,23.12
197,4.08,-29.87,69.03
148,28.34,-23.66,47.64
29,-22.07,15.46,53.77
47,26.04,38.32,35.39
92,-36.51,-5.28,78.85
125,39.19,21.47,20.17
169,32.45,-29.26,43.99
209,18.07,-17.89,61.73
0,25.95,21.07,34.47
205,31.87,15.03,44.1
117,24.49,13.41,31.78
100,-34.9,-5.43,64.17
225,-20.37,-14.24,33.49
145,-35.88,-5.42,43.16
236,-25.6,-34.99,46.1
71,10.46,20.67,63.54
187,-8.31,36.63,34.45
81,12.99,-10.55,42.8
50,15.64,-23.36,16.62
210,19.29,30.44,85.01
244,12.04,22.45,28.48
76,-4.57,-19.86,27.55
159,-18.08,-30.24,48.55
251,-4.69,23.88,17.21
59,-29.03,21.99,54.91
93,-22.97,-17.68,36.39
40,6.7,23.88,66.64
171,-24.28,-17.33,48.94
120,-16.01,-20.54,41.85
25,-26.3,5.51,41.72
54,-1.99,-7.07,42.05
161,-33.6,-28.16,41.46
127,24.29,-33.1,90.62
178,-14.43,8.55,30.07
77,24.03,5.35,70.64
190,-38.06,0.65,49.79
26,-7.77,-26.79,28.51
84,-4.61,17.95,43.16
1,-23.79,-16.1,60.97
235,-19.51,3.79,14.77
12,-9.19,22.8,47.0
142,28.08,12.68,55.29
94,-2.76,-6.77,64.39
39,34.51,20.45,46.85
19,-21.6,5.8,51.67
43,-33.37,26.55,34.02
45,-19.41,1.91,36.7
2,13.94,13.46,25.93
119,36.01,27.17,45.97
157,20.09,-14.36,54.13
30,-5.74,-19.39,72.97
33,7.29,-35.14,51.47
8,14.59,-33.58,25.26
140,13.16,-38.83,28.5
134,7.3,1.32,28.4
106,-9.92,-35.92,39.74
74,-15.6,19.98,69.62
246,17.47,39.8,42.67
207,-13.7,-21.09,16.7
122,-31.85,30.35,38.61
229,-28.9,-0.59,33.45
48,-16.78,5.31,26.1
183,28.09,-33.14,48.43
208,-26.74,29.39,62.15
257,-20.24,12.28,54.21
240,-13.27,-0.42,40.56
5,36.76,9.09,59.72
41,-10.78,-36.96,12.78
150,39.8,-17.56,29.82
179,38.46,-22.58,40.0
226,-23.1,-17.61,36.12
3,-20.09,32.29,59.29
124,6.48,2.67,33.47
198,-21.62,33.08,15.83
154,13.68,20.07,54.91
220,26.0,-23.42,58.2
99,-13.16,33.66,62.02
242,27.03,-10.08,33.01
133,-21.33,10.34,34.65
173,20.55,3.62,41.07
200,27.37,-3.83,34.98
44,8.32,17.09,59.28
53,-13.35,27.49,53.29
193,9.7,38.97,46.84
147,-30.79,-26.9,32.25
182,-19.17,-7.05,44.91
113,-6.41,-4.87,24.06
172,-38.67,22.9,52.27
17,-6.7,36.48,78.76
55,-9.85,-18.15,23.65
160,24.11,-6.53,65.76
87,-16.23,29.71,49.43
151,-8.67,34.23,92.41
24,39.98,-36.5,33.49
163,-24.08,-27.37,28.8
42,-37.95,9.94,48.1
135,26.94,-11.67,36.54
136,5.4,1.8,16.49
60,2.54,24.91,18.31
214,10.35,-38.12,30.49
